Production per Unir Area,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011
ANDAMAN AND NICOBAR,0,0,16,16,16,15,10,7,14,14,7,6,0
ANDHRA PRADESH,0,0,27,16,14,7,0,7,6,7,7,5,0
ASSAM ,74,7,9,9,7,9,0,9,8,8,0,10,10
KARNATAKA ,66,0,13,13,0,13,13,64,14,6,63,0,0
KERALA ,9,10,10,9,1,10,10,10,10,12,12,11,0
MEGHALYA ,12,12,12,12,0,12,12,13,0,0,13,14,0
PONDICHERRY ,0,2,2,21,0,12,0,20,0,0,0,0,0
WEST BENGAL,0,17,15,16,18,20,0,31,43,18,18,10,0
TAMIL NADU,0,0,0,0,0,0,0,0,21,21,19,19,0
